,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
947,Okan Koc,Right Winger,21,Genclerbirligi,Süper Lig,Besiktas,Süper Lig,4,0.7,1.4,1
948,Josip Skoko,Central Midfield,27,KRC Genk,Jupiler Pro League,Genclerbirligi,Süper Lig,4,0.675,1.35,2
949,Afonso Alves,Centre-Forward,22,Örgryte, Sweden,Malmö FF, Sweden,4,0.665,1.33,1
950,Matías Delgado,Attacking Midfield,20,Chacarita Jrs, Argentina,FC Basel,Super League,4,0.65,1.3,2
951,Dorin Goian,Centre-Back,23,FCM Bacau, Romania,FCS Bucharest, Romania,4,0.65,1.3,3
952,Kennedy,Right Midfield,23,Hammarby, Sweden,Iraklis,Super League,4,0.65,1.3,2
953,Andrezinho,Central Midfield,20,Flamengo, Brazil,Pohang Steelers," Korea, South",4,0.65,1.3,2
954,Kevin Kilbane,Left Midfield,26,Sunderland,First Division,Everton,Premier League,4,0.625,1.25,2
955,Matt Holland,Central Midfield,29,Ipswich,First Division,Charlton,Premier League,4,0.625,1.25,2
956,Rob Hulse,Centre-Forward,23,Crewe Alexandra,First Division,West Brom,First Division,4,0.625,1.25,1
957,Darren Huckerby,Right Winger,27,Man City,Premier League,Norwich,First Division,4,0.625,1.25,1
958,Richard Dostalek,Central Midfield,29,Slavia Prag,HET Liga,Rubin Kazan,Premier Liga,4,0.625,1.25,2
959,Niclas Jensen,Left-Back,28,Man City,Premier League,Bor. Dortmund,1.Bundesliga,4,0.625,1.25,3
960,Servet Cetin,Centre-Back,22,Denizlispor,Süper Lig,Fenerbahce,Süper Lig,4,0.6,1.2,3
961,Jonathan Blondel,Defensive Midfield,19,Spurs,Premier League,Club Brugge,Jupiler Pro League,4,0.6,1.2,2
962,Chidi Odiah,Right-Back,20,Sheriff, Moldova,CSKA Moscow,Premier Liga,4,0.6,1.2,3
963,Elpídio Silva,Centre-Forward,27,Boavista,Liga NOS,Sporting CP,Liga NOS,4,0.6,1.2,1
964,Alan Lee,Centre-Forward,25,Rotherham Utd.,First Division,Cardiff,First Division,4,0.6,1.2,1
965,Dário,Centre-Forward,26,Coimbra,Liga NOS,Al-Jazira, United Arab Emirates,4,0.6,1.2,1
966,Marcinho Guerreiro,Defensive Midfield,23,Figueirense FC, Brazil,Palmeiras, Brazil,4,0.6,1.2,2
967,Fernando,Centre-Back,23,Flamengo, Brazil,1860 Munich,1.Bundesliga,4,0.6,1.2,3
968,Darijo Srna,Right-Back,21,Hajduk Split, Croatia,Shakhtar D.,Premier Liga,4,0.6,1.2,3
969,Duccio Innocenti,Centre-Back,27,Bari,Serie B,Atalanta,Serie B,4,0.575,1.15,3
970,Habib Bèye,Right-Back,25,R. Strasbourg,Ligue 1,Marseille,Ligue 1,4,0.55,1.1,3
971,Antoine Sibierski,Attacking Midfield,29,Lens,Ligue 1,Man City,Premier League,4,0.55,1.1,2
972,Bernt Haas,Right-Back,25,Sunderland,First Division,West Brom,First Division,4,0.55,1.1,3
973,Roberto Muzzi,Centre-Forward,31,Udinese Calcio,Serie A,Lazio,Serie A,4,0.55,1.1,1
974,Bosingwa,Right-Back,20,Boavista,Liga NOS,FC Porto,Liga NOS,4,0.5,1.0,3
975,Dirk Kuyt,Right Winger,22,FC Utrecht,Eredivisie,Feyenoord,Eredivisie,4,0.5,1.0,1
976,Razvan Rat,Left-Back,22,Rapid Bucharest, Romania,Shakhtar D.,Premier Liga,4,0.5,1.0,3
977,Stjepan Tomas,Centre-Back,27,Como,Serie B,Fenerbahce,Süper Lig,4,0.5,1.0,3
978,Aleksandr Belozerov,Centre-Back,21,Lada Togliatti, Russia,Spartak Moscow,Premier Liga,4,0.5,1.0,3
979,Moritz Volz,Right-Back,20,Arsenal,Premier League,Fulham,Premier League,4,0.5,1.0,3
980,Mehmet Yilmaz,Centre-Forward,24,Samsunspor,Süper Lig,Trabzonspor,Süper Lig,4,0.5,1.0,1
981,Pierre van Hooijdonk,Centre-Forward,33,Feyenoord,Eredivisie,Fenerbahce,Süper Lig,4,0.5,1.0,1
982,Didier Drogba,Centre-Forward,26,Marseille,Ligue 1,Chelsea,Premier League,5,19.25,38.5,1
983,Wayne Rooney,Second Striker,18,Everton,Premier League,Man Utd,Premier League,5,18.5,37.0,1
984,Ricardo Carvalho,Centre-Back,26,FC Porto,Liga NOS,Chelsea,Premier League,5,15.0,30.0,3
985,Émerson,Defensive Midfield,28,AS Roma,Serie A,Juventus,Serie A,5,14.0,28.0,2
986,Samuel Eto'o,Centre-Forward,23,RCD Mallorca,LaLiga,FC Barcelona,LaLiga,5,13.5,27.0,1
987,Wálter Samuel,Centre-Back,26,AS Roma,Serie A,Real Madrid,LaLiga,5,12.5,25.0,3
988,Deco,Attacking Midfield,26,FC Porto,Liga NOS,FC Barcelona,LaLiga,5,10.5,21.0,2
989,Paulo Ferreira,Right-Back,25,FC Porto,Liga NOS,Chelsea,Premier League,5,10.0,20.0,3
990,Djibril Cissé,Centre-Forward,22,AJ Auxerre,Ligue 1,Liverpool,Premier League,5,10.0,20.0,1
991,Jonathan Woodgate,Centre-Back,24,Newcastle,Premier League,Real Madrid,LaLiga,5,9.15,18.3,3
992,Arjen Robben,Right Winger,20,PSV Eindhoven,Eredivisie,Chelsea,Premier League,5,9.0,18.0,1
993,Stefano Fiore,Attacking Midfield,29,Lazio,Serie A,Valencia CF,LaLiga,5,8.5,17.0,2
994,Xabi Alonso,Defensive Midfield,22,Real Sociedad,LaLiga,Liverpool,Premier League,5,8.0,16.0,2
995,Matteo Brighi,Central Midfield,23,Juventus,Serie A,AS Roma,Serie A,5,8.0,16.0,2
996,Zlatan Ibrahimovic,Centre-Forward,22,AFC Ajax,Eredivisie,Juventus,Serie A,5,8.0,16.0,1
997,Carlos Tévez,Second Striker,20,Boca Juniors, Argentina,Corinthians,Série A,5,7.5,15.0,1
998,Valeri Bojinov,Centre-Forward,18,Lecce,Serie A,Fiorentina,Serie A,5,7.0,14.0,1
999,Petr Cech,Goalkeeper,22,Stade Rennais,Ligue 1,Chelsea,Premier League,5,6.5,13.0,4
1000,Jiri Jarosik,Centre-Back,27,CSKA Moscow,Premier Liga,Chelsea,Premier League,5,6.0,12.0,3
1001,Lúcio,Centre-Back,26,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,5,6.0,12.0,3
1002,Alex,Centre-Back,22,Santos FC, Brazil,Chelsea,Premier League,5,5.75,11.5,3
1003,Matteo Brighi,Central Midfield,23,Parma,Serie A,Juventus,Serie A,5,5.75,11.5,2
1004,Jean-Alain Boumsong,Centre-Back,25,Rangers,Premiership,Newcastle,Premier League,5,5.65,11.3,3
1005,Nicolas Anelka,Centre-Forward,25,Man City,Premier League,Fenerbahce,Süper Lig,5,5.35,10.7,1
1006,Carlos Alberto,Attacking Midfield,20,FC Porto,Liga NOS,Corinthians,Série A,5,5.0,10.0,2
1007,Fabio Cannavaro,Centre-Back,30,Inter,Serie A,Juventus,Serie A,5,5.0,10.0,3
1008,Jérôme Rothen,Left Midfield,26,Monaco,Ligue 1,Paris SG,Ligue 1,5,5.0,10.0,2
1009,Péguy Luyindula,Centre-Forward,25,Olympique Lyon,Ligue 1,Marseille,Ligue 1,5,5.0,10.0,1
1010,Javier Chevantón,Centre-Forward,23,Lecce,Serie A,Monaco,Ligue 1,5,5.0,10.0,1
1011,Mario Yepes,Centre-Back,28,FC Nantes,Ligue 1,Paris SG,Ligue 1,5,5.0,10.0,3
1012,Emile Heskey,Centre-Forward,26,Liverpool,Premier League,Birmingham,Premier League,5,4.66,9.32,1
1013,Fernando Morientes,Centre-Forward,28,Real Madrid,LaLiga,Liverpool,Premier League,5,4.625,9.25,1
1014,James Beattie,Centre-Forward,26,Southampton,Premier League,Everton,Premier League,5,4.5,9.0,1
1015,Alan Smith,Central Midfield,23,Leeds,Championship,Man Utd,Premier League,5,4.5,9.0,2
1016,Luis García,Right Winger,26,FC Barcelona,LaLiga,Liverpool,Premier League,5,4.375,8.75,1
1017,Fernando Cavenaghi,Centre-Forward,20,River Plate, Argentina,Spartak Moscow,Premier Liga,5,4.3,8.6,1
1018,Éric Abidal,Left-Back,24,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,5,4.25,8.5,3
1019,Ludovic Giuly,Right Winger,27,Monaco,Ligue 1,FC Barcelona,LaLiga,5,4.25,8.5,1
1020,Pierre-Alain Frau,Centre-Forward,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,5,4.25,8.5,1
1021,Andy Reid,Left Midfield,22,Nottm Forest,Championship,Spurs,Premier League,5,4.0,8.0,2
1022,Goran Pandev,Second Striker,20,Inter,Serie A,Lazio,Serie A,5,4.0,8.0,1
1023,Anderson,Central Midfield,16,Grêmio, Brazil,FC Porto,Liga NOS,5,4.0,8.0,2
1024,Elano,Attacking Midfield,23,Santos FC,Serie A,Shakhtar D.,Premier Liga,5,3.8,7.6,2
1025,Derlei,Centre-Forward,29,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,5,3.75,7.5,1
1026,Tomás Ujfalusi,Centre-Back,26,Hamburger SV,1.Bundesliga,Fiorentina,Serie A,5,3.75,7.5,3
1027,Hélder Postiga,Centre-Forward,21,Spurs,Premier League,FC Porto,Liga NOS,5,3.75,7.5,1
1028,James Milner,Central Midfield,18,Leeds,Championship,Newcastle,Premier League,5,3.7,7.4,2
1029,Barry Ferguson,Defensive Midfield,27,Blackburn,Premier League,Rangers,Premiership,5,3.625,7.25,2
1030,Michael Dawson,Centre-Back,21,Nottm Forest,Championship,Spurs,Premier League,5,3.5,7.0,3
1031,Fabrizio Miccoli,Centre-Forward,25,Juventus,Serie A,Fiorentina,Serie A,5,3.5,7.0,1
1032,Matteo Ferrari,Centre-Back,24,Parma,Serie A,AS Roma,Serie A,5,3.5,7.0,3
1033,Diego,Attacking Midfield,19,Santos FC, Brazil,FC Porto,Liga NOS,5,3.5,7.0,2
1034,Mark Viduka,Centre-Forward,28,Leeds,Championship,Middlesbrough,Premier League,5,3.375,6.75,1
1035,Giampaolo Pazzini,Centre-Forward,20,Atalanta,Serie A,Fiorentina,Serie A,5,3.25,6.5,1
1036,Giorgio Chiellini,Centre-Back,19,AS Livorno,Serie A,Fiorentina,Serie A,5,3.25,6.5,3
1037,Luciano Figueroa,Centre-Forward,23,CD Cruz Azul, Mexico,Villarreal CF,LaLiga,5,3.1,6.2,1
1038,Dean Ashton,Centre-Forward,21,Crewe Alexandra,Championship,Norwich,Premier League,5,3.0,6.0,1
1039,Juliano Belletti,Right-Back,28,Villarreal CF,LaLiga,FC Barcelona,LaLiga,5,3.0,6.0,3
1040,Eduardo Costa,Defensive Midfield,21,G. Bordeaux,Ligue 1,Marseille,Ligue 1,5,3.0,6.0,2
1041,Ricardo Quaresma,Right Winger,20,FC Barcelona,LaLiga,FC Porto,Liga NOS,5,3.0,6.0,1
1042,Nilmar,Centre-Forward,20,Internacional, Brazil,Olympique Lyon,Ligue 1,5,2.875,5.75,1
1043,Francisco Lima,Defensive Midfield,33,AS Roma,Serie A,Loko Moscow,Premier Liga,5,2.85,5.7,2
1044,Edú,Second Striker,25,Celta de Vigo,LaLiga2,Real Betis,LaLiga,5,2.75,5.5,1
1045,Dario Dainelli,Centre-Back,25,Brescia,Serie A,Fiorentina,Serie A,5,2.75,5.5,3
1046,Stephen Makinwa,Centre-Forward,21,Genoa,Serie B,Atalanta,Serie A,5,2.7,5.4,1
1047,Gerard Piqué,Centre-Back,17,Barça Juvenil A, Spain,Man Utd,Premier League,5,2.625,5.25,3
1048,Sean Davis,Defensive Midfield,24,Fulham,Premier League,Spurs,Premier League,5,2.6,5.2,2
1049,Fabricio Coloccini,Centre-Back,23,AC Milan,Serie A,Dep. La Coruña,LaLiga,5,2.5,5.0,3
1050,Franck Ribéry,Left Winger,21,FC Metz,Ligue 1,Galatasaray,Süper Lig,5,4.5,5.0,1
1051,Mohamed Kallon,Centre-Forward,24,Inter,Serie A,Monaco,Ligue 1,5,2.5,5.0,1
1052,Simone Barone,Central Midfield,26,Parma,Serie A,US Palermo,Serie A,5,2.5,5.0,2
1053,Benoît Pedretti,Defensive Midfield,23,FC Sochaux,Ligue 1,Marseille,Ligue 1,5,2.5,5.0,2
1054,Manuel Almunia,Goalkeeper,27,Celta de Vigo,LaLiga2,Arsenal,Premier League,5,2.5,5.0,4
1055,Sylvain Armand,Centre-Back,23,FC Nantes,Ligue 1,Paris SG,Ligue 1,5,2.5,5.0,3
1056,Peter Luccin,Defensive Midfield,25,Celta de Vigo,LaLiga2,Atlético Madrid,LaLiga,5,2.5,5.0,2
1057,Rodrigo,Centre-Back,24,São Paulo,Serie A,Dynamo Kyiv,Premier Liga,5,2.5,5.0,3
1058,Jádson,Attacking Midfield,21,Atlético-PR,Serie A,Shakhtar D.,Premier Liga,5,2.5,5.0,2
1059,Angelos Charisteas,Centre-Forward,24,Werder Bremen,1.Bundesliga,AFC Ajax,Eredivisie,5,2.45,4.9,1
1060,Robbie Savage,Central Midfield,30,Birmingham,Premier League,Blackburn,Premier League,5,2.25,4.5,2
1061,Thimothée Atouba,Left-Back,22,FC Basel,Super League,Spurs,Premier League,5,2.25,4.5,3
1062,Robert Earnshaw,Centre-Forward,23,Cardiff,Championship,West Brom,Premier League,5,2.25,4.5,1
1063,Robin van Persie,Centre-Forward,20,Feyenoord,Eredivisie,Arsenal,Premier League,5,2.25,4.5,1
1064,Nemanja Vidic<U+200E>,Centre-Back,22,Red Star, Serbia,Spartak Moscow,Premier Liga,5,2.225,4.45,3
1065,Michael Carrick,Defensive Midfield,23,West Ham,Championship,Spurs,Premier League,5,2.05,4.1,2
1066,Benjamin Lauth,Centre-Forward,22,1860 Munich,2.Bundesliga,Hamburger SV,1.Bundesliga,5,2.05,4.1,1
1067,Clemente Rodríguez,Left-Back,23,Boca Juniors, Argentina,Spartak Moscow,Premier Liga,5,2.0,4.0,3
1068,Radoslav Kovac,Centre-Back,25,Sparta Praha,HET Liga,Spartak Moscow,Premier Liga,5,0.05,4.0,3
1069,Robert,Centre-Forward,23,Atlas, Mexico,PSV Eindhoven,Eredivisie,5,0.05,4.0,1
1070,Alex,Attacking Midfield,26,Cruzeiro, Brazil,Fenerbahce,Süper Lig,5,2.0,4.0,2
1071,Marcelo Bordon,Centre-Back,28,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,5,2.0,4.0,3
1072,Martin Laursen,Centre-Back,26,AC Milan,Serie A,Aston Villa,Premier League,5,2.0,4.0,3
1073,Emanuele Calaiò,Centre-Forward,22,Pescara,Serie B,SSC Napoli,Serie C - B,5,2.0,4.0,1
1074,Ricardo Oliveira,Centre-Forward,24,Valencia CF,LaLiga,Real Betis,LaLiga,5,2.0,4.0,1
1075,Francis Jeffers,Centre-Forward,23,Arsenal,Premier League,Charlton,Premier League,5,1.95,3.9,1
1076,Daniel Van Buyten,Centre-Back,26,Marseille,Ligue 1,Hamburger SV,1.Bundesliga,5,1.9,3.8,3
1077,Martin Albrechtsen,Centre-Back,24,FC Copenhagen,Superligaen,West Brom,Premier League,5,1.875,3.75,3
1078,Nicky Butt,Central Midfield,29,Man Utd,Premier League,Newcastle,Premier League,5,1.875,3.75,2
1079,Thomas Buffel,Right Winger,23,Feyenoord,Eredivisie,Rangers,Premiership,5,1.75,3.5,1
1080,Dudu Cearense,Central Midfield,21,Kashiwa Reysol,J1 League,CSKA Moscow,Premier Liga,5,2.5,3.5,2
1081,John Carew,Centre-Forward,24,Valencia CF,LaLiga,Besiktas,Süper Lig,5,1.75,3.5,1
1082,Paul Freier,Right Midfield,24,VfL Bochum,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,5,1.75,3.5,2
1083,Ariza Makukula,Centre-Forward,23,FC Nantes,Ligue 1,Sevilla FC,LaLiga,5,1.75,3.5,1
1084,Dennis Rommedahl,Right Winger,25,PSV Eindhoven,Eredivisie,Charlton,Premier League,5,1.75,3.5,1
1085,Cícero,Centre-Forward,18,Braga,Liga NOS,Dinamo Moscow,Premier Liga,5,1.75,3.5,1
1086,Mariano González,Right Midfield,23,Racing Club, Argentina,US Palermo,Serie A,5,1.75,3.5,2
1087,Nicolás Burdisso,Centre-Back,23,Boca Juniors, Argentina,Inter,Serie A,5,1.75,3.5,3
1088,Luís Fabiano,Centre-Forward,23,São Paulo, Brazil,FC Porto,Liga NOS,5,1.75,3.5,1
1089,Jefferson Farfán,Right Winger,19,Alianza Lima, Peru,PSV Eindhoven,Eredivisie,5,1.75,3.5,1
1090,Thomas Gravesen,Defensive Midfield,28,Everton,Premier League,Real Madrid,LaLiga,5,1.7,3.4,2
1091,Jesper Grönkjaer,Left Winger,26,Chelsea,Premier League,Birmingham,Premier League,5,1.65,3.3,1
1092,Martin Jiranek,Centre-Back,25,Reggina,Serie A,Spartak Moscow,Premier Liga,5,1.65,3.3,3
1093,Danny Murphy,Central Midfield,27,Liverpool,Premier League,Charlton,Premier League,5,1.625,3.25,2
1094,Cristian Silvestri,Centre-Back,29,Lecce,Serie A,Catania,Serie B,5,1.6,3.2,3
1095,Nigel Quashie,Central Midfield,26,Portsmouth,Premier League,Southampton,Premier League,5,1.575,3.15,2
1096,Amdy Fayé,Defensive Midfield,27,Portsmouth,Premier League,Newcastle,Premier League,5,3.0,3.0,2
1097,Danny,Attacking Midfield,21,Sporting CP,Liga NOS,Dinamo Moscow,Premier Liga,5,2.25,3.0,2
1098,Georgios Seitaridis,Right-Back,23,Panathinaikos,Super League,FC Porto,Liga NOS,5,1.5,3.0,3
1099,Pablo Ibáñez,Centre-Back,22,Albacete,LaLiga,Atlético Madrid,LaLiga,5,1.5,3.0,3
1100,Paul Robinson,Goalkeeper,24,Leeds,Championship,Spurs,Premier League,5,1.5,3.0,4
1101,Ibrahim Toraman,Centre-Back,22,Gaziantepspor,Süper Lig,Besiktas,Süper Lig,5,1.5,3.0,3
1102,Pedro Mendes,Defensive Midfield,25,FC Porto,Liga NOS,Spurs,Premier League,5,1.5,3.0,2
1103,Ilan,Centre-Forward,23,Atlético-PR, Brazil,FC Sochaux,Ligue 1,5,1.5,3.0,1
1104,Daniel Moreira,Second Striker,26,Lens,Ligue 1,Toulouse,Ligue 1,5,1.5,3.0,1
1105,Habib Bamogo,Second Striker,22,Montpellier,Ligue 2,Marseille,Ligue 1,5,1.5,3.0,1
1106,Éric Carrière,Attacking Midfield,31,Olympique Lyon,Ligue 1,Lens,Ligue 1,5,1.5,3.0,2
1107,Stephen Carr,Right-Back,27,Spurs,Premier League,Newcastle,Premier League,5,1.5,3.0,3
1108,Fabrice Fiorèse,Right Winger,29,Paris SG,Ligue 1,Marseille,Ligue 1,5,1.5,3.0,1
1109,Julio Cáceres,Centre-Back,24,Olimpia, Paraguay,FC Nantes,Ligue 1,5,1.5,3.0,3
1110,Vedran Runje,Goalkeeper,28,Marseille,Ligue 1,Standard Liège,Jupiler Pro League,5,1.5,3.0,4
1111,Juan Carlos Menseguez,Second Striker,20,River Plate, Argentina,VfL Wolfsburg,1.Bundesliga,5,1.5,3.0,1
1112,Tomasz Radzinski,Centre-Forward,30,Everton,Premier League,Fulham,Premier League,5,1.5,3.0,1
1113,Josemi,Centre-Back,24,Málaga CF,LaLiga,Liverpool,Premier League,5,1.5,3.0,3
1114,Batista,Defensive Midfield,29,Galatasaray,Süper Lig,Shakhtar D.,Premier Liga,5,1.5,3.0,2
1115,Florin Bratu,Centre-Forward,24,Galatasaray,Süper Lig,FC Nantes,Ligue 1,5,1.5,3.0,1
1116,Tomas Hübschman,Defensive Midfield,22,Sparta Praha,HET Liga,Shakhtar D.,Premier Liga,5,1.5,3.0,2
1117,Jelle Van Damme,Left-Back,20,AFC Ajax,Eredivisie,Southampton,Premier League,5,1.5,3.0,3
1118,Peter Crouch,Centre-Forward,23,Aston Villa,Premier League,Southampton,Premier League,5,1.5,3.0,1
1119,David Healy,Centre-Forward,25,Preston NE,Championship,Leeds,Championship,5,1.375,2.75,1
1120,Sotiris Kyrgiakos,Centre-Back,25,Panathinaikos,Super League,Rangers,Premiership,5,1.315,2.63,3
1121,Eric Djemba-Djemba,Defensive Midfield,23,Man Utd,Premier League,Aston Villa,Premier League,5,7.0,2.54,2
1122,Leandro Romagnoli,Attacking Midfield,23,San Lorenzo, Argentina,Tiburones Rojos, Mexico,5,3.0,2.5,2
1123,Sergey Semak,Central Midfield,28,CSKA Moscow,Premier Liga,Paris SG,Ligue 1,5,1.0,2.5,2
1124,Ricardo Fuller,Centre-Forward,24,Preston NE,Championship,Portsmouth,Premier League,5,1.25,2.5,1
1125,Adailton,Centre-Back,21,EC Vitória, Brazil,Stade Rennais,Ligue 1,5,1.25,2.5,3
1126,Andreas Görlitz,Right-Back,22,1860 Munich,2.Bundesliga,Bayern Munich ,1.Bundesliga,5,1.25,2.5,3
1127,Giorgi Demetradze,Centre-Forward,28,Metalurh D.,Premier Liga,Spartak V.,Premier Liga,5,1.25,2.5,1
1128,Lima,Centre-Forward,23,Braga,Liga NOS,Atlético-PR,Série A,5,1.25,2.5,1
1129,Mauro Rosales,Right Midfield,23,Newell's, Argentina,AFC Ajax,Eredivisie,5,1.25,2.5,2
1130,Thiago Silva,Centre-Back,20,Juventude,Serie A,FC Porto,Liga NOS,5,1.25,2.5,3
1131,Júlio César,Goalkeeper,25,Flamengo,Serie A,Inter,Serie A,5,1.225,2.45,4
1132,Fabrizio Miccoli,Centre-Forward,25,Fiorentina,Serie A,Juventus,Serie A,5,15.0,2.4,1
1133,Erik Hagen,Centre-Back,29,Valerenga,Eliteserien,Zenit S-Pb,Premier Liga,5,2.4,2.4,3
1134,Cata Díaz,Centre-Back,25,Colón, Argentina,Boca Juniors, Argentina,5,1.2,2.4,3
1135,Roger,Attacking Midfield,26,Benfica,Liga NOS,Corinthians,Série A,5,1.15,2.3,2
1136,Marek Heinz,Centre-Forward,26,Banik Ostrava,HET Liga,Bor. M'gladbach,1.Bundesliga,5,1.15,2.3,1
1137,Robbie Blake,Second Striker,28,Burnley,Championship,Birmingham,Premier League,5,1.125,2.25,1
1138,Richard Chaplow,Central Midfield,20,Burnley,Championship,West Brom,Premier League,5,0.05,2.25,2
1139,Zoltán Gera,Central Midfield,25,Ferencváros,NB I.,West Brom,Premier League,5,1.125,2.25,2
1140,Fitz Hall,Centre-Back,23,Southampton,Premier League,Crystal Palace,Premier League,5,1.125,2.25,3
1141,Morten Gamst Pedersen,Central Midfield,22,Tromsø,Eliteserien,Blackburn,Premier League,5,1.125,2.25,2
1142,Milos Krasic,Central Midfield,19,Vojvodina, Serbia,CSKA Moscow,Premier Liga,5,1.125,2.25,2
1143,Emmanuel Eboué,Right-Back,21,KSK Beveren,Jupiler Pro League,Arsenal,Premier League,5,1.1,2.2,3
1144,Vladimir Manchev,Centre-Forward,26,LOSC Lille,Ligue 1,Levante UD,LaLiga,5,1.1,2.2,1
1145,Tim Cahill,Attacking Midfield,24,Millwall,Championship,Everton,Premier League,5,1.1,2.2,2
1146,Adriano,Left-Back,20,Coritiba FC,Serie A,Sevilla FC,LaLiga,5,1.05,2.1,3
1147,Jesper Grönkjaer,Left Winger,27,Birmingham,Premier League,Atlético Madrid,LaLiga,5,1.0,2.0,1
1148,Sonny Anderson,Centre-Forward,34,Villarreal CF,LaLiga,Al Rayyan, Qatar,5,4.0,2.0,1
1149,Chong-gug Song,Right-Back,25,Feyenoord,Eredivisie,Suwon Bluewings," Korea, South",5,2.8,2.0,3
1150,Luís Loureiro,Defensive Midfield,28,Braga,Liga NOS,Dinamo Moscow,Premier Liga,5,2.75,2.0,2
1151,Leandro,Left-Back,25,Cruzeiro,Serie A,FC Porto,Liga NOS,5,2.5,2.0,3
1152,Sebastian Mila,Attacking Midfield,22,Grodzisk,Ekstraklasa,Austria Vienna,Bundesliga,5,1.5,2.0,2
1153,Léo Lima,Attacking Midfield,22,Marítimo,Liga NOS,FC Porto,Liga NOS,5,0.5,2.0,2
1154,Aleksey Bugaev,Centre-Back,23,Torpedo Moscow,Premier Liga,Loko Moscow,Premier Liga,5,0.05,2.0,3
1155,Jussiê,Attacking Midfield,21,Cruzeiro,Serie A,Lens,Ligue 1,5,1.0,2.0,2
1156,Kevin Hofland,Centre-Back,25,PSV Eindhoven,Eredivisie,VfL Wolfsburg,1.Bundesliga,5,1.0,2.0,3
1157,Juan Carlos Cacho,Centre-Forward,22,CD Cruz Azul, Mexico,CF Pachuca, Mexico,5,1.0,2.0,1
1158,Marco Caneira,Centre-Back,25,G. Bordeaux,Ligue 1,Valencia CF,LaLiga,5,1.0,2.0,3
1159,Vahid Hashemian,Centre-Forward,27,VfL Bochum,1.Bundesliga,Bayern Munich ,1.Bundesliga,5,1.0,2.0,1
1160,Seyi Olofinjana,Central Midfield,24,SK Brann,Eliteserien,Wolves,Championship,5,1.0,2.0,2
1161,Erik Edman,Left-Back,25,Heerenveen,Eredivisie,Spurs,Premier League,5,1.0,2.0,3
1162,Weldon,Centre-Forward,23,Ponte Preta, Brazil,Al-Nasr, United Arab Emirates,5,1.0,2.0,1
1163,Rodolfo,Centre-Back,21,Fluminense, Brazil,Dynamo Kyiv,Premier Liga,5,1.0,2.0,3
1164,Serkan Balci,Right-Back,20,Genclerbirligi,Süper Lig,Fenerbahce,Süper Lig,5,1.0,2.0,3
1165,Davide Carrus,Defensive Midfield,25,Fiorentina,Serie A,Bari,Serie B,5,1.0,2.0,2
1166,DaMarcus Beasley,Left-Back,22,Chicago Fire,MLS,PSV Eindhoven,Eredivisie,5,1.0,2.0,3
1167,Pepe,Centre-Back,21,Marítimo,Liga NOS,FC Porto,Liga NOS,5,1.0,2.0,3
1168,Davide Possanzini,Centre-Forward,28,UC AlbinoLeffe,Serie B,US Palermo,Serie A,5,0.95,1.9,1
1169,Andreas Jakobsson,Centre-Back,32,Bröndby IF,Superligaen,Southampton,Premier League,5,0.9,1.8,3
1170,Damian Gorawski,Right Winger,26,Wisla Kraków,Ekstraklasa,FK Moskau,Premier Liga,5,1.75,1.8,1
1171,Serghei Covalciuc,Central Midfield,22,Karpaty, Ukraine,Spartak Moscow,Premier Liga,5,0.9,1.8,2
1172,Marcel,Centre-Forward,23,Suwon Bluewings," Korea, South",Coimbra,Liga NOS,5,0.9,1.8,1
1173,Sixto Peralta,Central Midfield,25,Santos Laguna, Mexico,Tigres UANL, Mexico,5,0.9,1.8,2
1174,Calum Davenport,Centre-Back,21,Coventry City,Championship,Spurs,Premier League,5,0.9,1.8,3
1175,Ibson,Central Midfield,21,Flamengo,Serie A,FC Porto,Liga NOS,5,0.9,1.8,2
1176,Mladen Petric,Centre-Forward,23,Grasshoppers,Super League,FC Basel,Super League,5,0.875,1.75,1
1177,Azar Karadas,Centre-Back,22,Rosenborg BK,Eliteserien,Benfica,Liga NOS,5,0.875,1.75,3
1178,Jonathan Greening,Central Midfield,25,Middlesbrough,Premier League,West Brom,Premier League,5,0.875,1.75,2
1179,Önder Turaci,Centre-Back,22,Standard Liège,Jupiler Pro League,Fenerbahce,Süper Lig,5,0.85,1.7,3
1180,Pedro Benítez,Centre-Back,23,Cerro Porteño, Paraguay,Shakhtar D.,Premier Liga,5,0.85,1.7,3
1181,Andreas Isaksson,Goalkeeper,22,Djurgarden, Sweden,Stade Rennais,Ligue 1,5,0.85,1.7,4
1182,Maksim Romashchenko,Left Midfield,28,Trabzonspor,Süper Lig,Dinamo Moscow,Premier Liga,5,0.8,1.6,2
1183,Dragan Mladenovic,Defensive Midfield,28,Red Star, Serbia,Rangers,Premiership,5,0.8,1.6,2
1184,Niko Kranjcar,Attacking Midfield,20,Dinamo Zagreb, Croatia,Hajduk Split, Croatia,5,0.75,1.5,2
1185,Juan Pablo Sorín,Left-Back,28,Cruzeiro, Brazil,Villarreal CF,LaLiga,5,4.0,1.5,3
